latitude,longitude,description,date_time,period
-1.306222,27.686532,Agent final argue night class.,2023-11-23 10:32:27,Day
80.088721,-38.174667,Enter condition radio raise type.,2020-05-23 15:21:34,Day
65.309593,86.679826,Offer right same wonder foreign.,2023-10-30 11:12:30,Day
17.426145,-14.477965,Expert discover group data record science reason.,2020-06-25 09:51:43,Day
-74.849858,-101.268725,Citizen particularly include field.,2022-01-24 22:50:04,Night
79.2187465,-29.085189,Charge civil even training.,2024-01-22 05:13:55,Night
-45.4631415,71.192389,Recognize institution party floor sell nation close.,2021-12-13 01:37:10,Night
22.258451,-61.705945,Measure wish hot floor easy still.,2019-08-30 00:00:59,Night
-12.755721,-137.571553,Build ok among society his sport.,2021-06-22 10:18:40,Day
-23.2876715,-129.386519,Mind region his now ready.,2022-11-08 21:56:57,Night
33.9398065,62.063642,On wife push find.,2019-08-25 21:51:00,Night
24.671921,94.687851,Level too true not know sell woman.,2024-02-10 14:11:34,Day
49.9945555,-1.749876,Activity these letter about agree realize.,2020-11-26 09:42:43,Day
34.796246,166.574725,Appear politics black meeting benefit produce.,2020-10-03 17:22:48,Day
47.012203,38.744957,Suffer affect professional language.,2023-09-18 13:59:49,Day
-50.0689395,117.002465,Sit more power carry high about a oil.,2023-07-24 21:45:41,Night
51.496621,9.088627,Hour customer should piece much.,2019-10-23 12:23:54,Day
27.839247,14.436025,Draw possible low other there.,2023-05-16 06:26:21,Day
86.956437,60.216424,Value would Congress receive tax deal meeting keep.,2020-08-27 22:12:35,Night
52.829566,-103.253586,Statement dream themselves discuss chance onto.,2022-08-16 04:31:44,Night
65.4693865,-141.765818,Accept in economic accept clear manage thus.,2021-11-09 05:31:20,Night
18.0911015,-157.317299,News safe thousand respond voice project happy.,2021-07-27 02:24:55,Night
-37.9833125,167.522132,Book reduce left require quite.,2022-05-05 13:58:25,Day
-50.360811,-131.267822,Nor the walk ok book.,2024-04-10 02:22:47,Night
-16.7903845,-73.597365,Similar capital thus feeling.,2022-07-17 06:27:32,Day
64.026397,85.265247,Part international down Mrs.,2023-12-03 01:41:29,Night
49.827178,0.973994,Know wide among history change ask system.,2023-04-05 23:20:51,Night
56.2647695,-64.222848,Question set garden maintain skin.,2021-09-17 10:32:04,Day
67.2971795,108.063530,Per east moment me.,2021-03-26 00:08:53,Night
52.625171,154.070346,Let building upon but.,2021-10-17 05:48:40,Night
-14.5209795,102.049895,Break firm yard current lead adult.,2020-07-31 15:41:39,Day
-58.979053,48.890008,Hour job argue break century.,2021-06-09 15:47:36,Day
89.2506525,46.776560,Customer series resource last from task.,2021-01-30 19:46:23,Night
82.0685085,-63.902085,Quickly operation take since yourself front.,2019-06-30 19:33:03,Night
-23.195650,-150.137827,Somebody particularly four above fact rest.,2021-03-31 20:51:33,Night
-78.9412995,-28.315585,Pattern decade agency social than.,2021-11-12 02:58:30,Night
-8.314253,137.286770,Total nothing article certainly adult character beat.,2020-01-04 04:32:30,Night
50.479026,-47.590983,Tough they war total story he future.,2022-01-21 08:34:31,Day
44.195654,98.859414,Walk score true particularly your child difficult.,2021-07-16 17:17:36,Day
-27.6376975,-127.736441,Stand food answer for.,2020-11-05 18:38:35,Day
58.674205,56.998485,Finally special peace order leg.,2022-09-12 00:08:50,Night
-38.567821,-33.851889,Last science particularly free standard military heart at.,2021-04-05 04:03:00,Night
29.887801,-88.703704,Also popular rich.,2019-06-02 09:22:39,Day
26.6814795,-171.691995,Begin will record goal increase fire growth role.,2022-12-15 13:27:39,Day
57.0943675,56.209570,Sing pretty on air third.,2022-05-02 08:47:06,Day
-3.2705325,-110.687019,Everyone significant every should after.,2023-12-27 00:55:48,Night
65.9362205,75.878691,Can operation per parent.,2021-06-11 10:43:25,Day
0.7910435,56.386844,Not agency couple during knowledge evidence.,2020-09-23 13:12:27,Day
-65.1392145,123.521719,Big happen run.,2021-05-29 16:43:19,Day
-4.8756425,18.572788,Present team likely study raise direction.,2019-10-21 12:59:18,Day
88.206204,63.251136,Four fine science book tough dinner very hard.,2021-10-01 19:26:41,Night
-38.3650595,-19.570531,Prove win especially have system service would less.,2021-02-20 21:59:29,Night
-78.086056,45.460685,Drug minute sign age.,2020-06-25 19:35:52,Night
-67.204423,-49.875048,Simple can and toward.,2022-09-25 09:04:07,Day
